DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter,cpi,cci,gdp,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,new_years,mothers_day,fathers_day,christmas
11/7/2016,2826128.33,0,427806.4,34631.46667,64033311.37,42223.9927,12480,8832206,20864.83396,0,29426,241.353,100.888,190.281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/14/2016,3182900.00,156973.16,0,0,52199572.16,0,0,9584624,15996.04615,0,19401.65385,241.353,100.888,190.281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/21/2016,2964696.67,20871.16,435054.4,21879.2,80485549.89,0,0,9029457,20046.28155,0,19401.65385,241.353,100.888,190.281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/28/2016,2848525.00,0,0,12428.8,53736753.5,73955.95632,28600,9334174,14195.63911,0,27941,241.353,100.888,190.281,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12/5/2016,2740160.00,42763.2,717241.6,0,21469926.03,65123.98793,25200,8234498,4969.403594,0,51273,241.409,101.134,190.710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2016,2380508.33,0,0,0,29472934.6,52768.86061,22040,7904539,9091.08372,0,19606,241.432,101.232,190.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2016,2230915.00,0,1004760,0,14122124.69,47686.78427,20680,7127441,3035.633075,0,4453,241.432,101.232,190.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2016,3659425.00,323163.04,0,0,68537049.5,77849.586,23200,7730351,21679.64402,0,559,241.432,101.232,190.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/2/2017,2827008.33,123163.04,1361088,83994.4,58171140.21,58179.84153,22120,7498330,12843.63277,0,46507,241.834,101.275,191.053,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/9/2017,2042143.33,0,0,0,58671678.03,63213.96521,21240,6815506,16418.93087,0,21771,242.839,101.383,191.482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2017,2113358.33,17739.88,0,4606.933333,56039474.62,61912.6341,20120,6701008,17963.15754,0,35351,242.839,101.383,191.482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2017,2179918.33,0,0,32342.93333,86758062.44,61384.37354,21000,6998027,19507.38421,0,13998,242.839,101.383,191.482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2017,2370613.33,120734.88,0,0,60054669.93,68123.11287,21680,7097324,12841.93171,0,27415,242.839,101.383,191.482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2017,1814556.67,0,0,0,0,44602.76789,16760,6048680,0,0,4085,243.494,101.372,191.929,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/2017,1951668.33,0,383171.2,0,88205178.52,0,0,6290401,24781.36566,0,19401.65385,243.603,101.371,192.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/2017,1918238.33,0,0,32073.06667,0,0,0,6137639,0,0,19401.65385,243.603,101.371,192.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/2017,1472390.00,0,0,0,142691898.2,37539.20492,13520,4802056,41701.8577,0,26556,243.603,101.371,192.003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/2017,1477865.00,0,0,42083.33333,0,46462.99321,14000,4688746,0,0,12272,243.773,101.344,192.450,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/13/2017,1300166.67,31082.64,0,0,0,41198.0192,12640,4119318,0,0,25992,243.801,101.339,192.524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2017,1160205.00,0,0,59561.46667,0,29804.31852,11320,3618373,0,0,22696,243.801,101.339,192.524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2017,1356871.67,0,73428.8,0,31147280.42,45902.22993,14400,4476843,7847.605316,0,26404,243.801,101.339,192.524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2017,1355833.33,0,0,0,0,31975.80037,13680,4523389,0,0,1245,244.111,101.322,192.747,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/10/2017,1176266.67,0,1501084.8,0,0,25465.64866,11000,3711150,0,0,1126,244.524,101.299,193.045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/17/2017,1955281.67,22407.16,0,0,0,27251.5034,10640,3057885,0,0,11966,244.524,101.299,193.045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/24/2017,1029928.33,0,888464,0,0,26141.46141,9800,3309344,0,0,17897,244.524,101.299,193.045,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/1/2017,2263143.33,109868.76,0,0,0,22180.03825,7800,2826863,0,0,6052,244.554,101.289,193.168,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5/8/2017,813771.67,0,919038.4,0,0,18525.61577,8040,2604828,0,0,9055,244.733,101.226,193.903,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/15/2017,880871.67,0,0,0,0,0,0,2940496,0,0,19401.65385,244.733,101.226,193.903,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/22/2017,919185.00,0,123019.2,0,46342101.03,0,0,3024982,11935.60436,0,19401.65385,244.733,101.226,193.903,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/29/2017,826321.67,0,0,21524.13333,0,18580.09291,6520,2681061,0,0,5778,244.733,101.226,193.903,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/5/2017,833798.33,27376.4,127460.8,0,38495441.92,18758.71243,8040,2609725,9276.159575,0,1988,244.892,101.149,194.516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/12/2017,746271.67,0,0,0,0,22062.26296,6680,2487079,0,0,4794,244.955,101.118,194.761,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/19/2017,1036406.67,108779.04,0,0,3288608.27,26777.60258,9520,3149223,93.81152741,0,5180,244.955,101.118,194.761,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6/26/2017,927931.67,0,475896,13978.26667,0,20789.34582,8000,2963072,0,0,1048,244.955,101.118,194.761,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7/3/2017,1126943.33,13682.28,0,28719.2,75117628.18,37944.46489,11360,3485135,19950.34149,0,10977,244.883,101.100,195.129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/10/2017,1184220.00,0,0,0,0,35559.57852,11160,3950566,0,0,6813,244.786,101.077,195.619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/17/2017,1315508.33,29591.4,324544,74872.53333,0,33056.5174,11560,3800790,0,0,2361,244.786,101.077,195.619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/24/2017,1279360.00,0,0,0,0,34686.81144,11600,4264348,0,0,15114,244.786,101.077,195.619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/31/2017,1455811.67,34154.76,616320,4357.333333,0,38038.55553,13600,4429446,0,0,10044,244.786,101.077,195.619,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/7/2017,1553355.00,0,314598.4,28401.73333,0,53676.18901,16080,4916984,0,0,8930,245.519,101.175,196.728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/14/2017,1374855.00,102141.16,0,0,0,0,0,4198833,0,0,19401.65385,245.519,101.175,196.728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/21/2017,1970110.00,0,0,34044.53333,19322483.21,0,0,6276021,4028.034307,0,19401.65385,245.519,101.175,196.728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/28/2017,2336431.67,353667.36,0,0,14227048.49,70335.07472,21000,7010039,2696.780957,0,33712,245.519,101.175,196.728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9/4/2017,2002065.00,0,0,0,0,44809.82457,19480,6679241,0,0,20000,246.262,101.245,197.362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/11/2017,2027418.33,146607.8,450494.4,13831.06667,8110862.433,46999.40803,16760,5890204,1865.30046,0,2265,246.819,101.298,197.838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/18/2017,1886570.00,0,0,0,0,55166.26943,19320,6289814,0,0,15924,246.819,101.298,197.838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/25/2017,2529721.67,250991.52,433691.2,0,31678562.48,72998.56091,22920,7410667,7587.002181,0,24336,246.819,101.298,197.838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10/2/2017,2357930.00,333913.36,175089.6,0,0,69679.83376,22040,7799073,0,0,29510,246.774,101.342,198.155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/9/2017,3003391.67,133913.36,981708.8,55514.8,58082600.28,55293.3578,24040,8147766,16045.71724,0,15458,246.663,101.451,198.948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/16/2017,2283685.00,0,0,0,44812187.3,72764.83097,22760,7617066,12571.12219,0,43966,246.663,101.451,198.948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/23/2017,2584721.67,133081.52,138273.6,0,64280547.01,69347.53117,23760,7756047,14195.63911,0,35016,246.663,101.451,198.948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/30/2017,2565400.00,13935.68,0,0,67034964.42,73130.13117,25400,8307903,15820.15604,0,4749,246.663,101.451,198.948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/6/2017,3407085.00,63447.04,955572.8,69119.73333,39944030.37,78990.71712,29480,9283504,10658.44487,0,25943,246.668,101.433,199.692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/13/2017,2803291.67,0,0,0,95672835.51,0,0,9355428,22800.30554,0,19401.65385,246.669,101.430,199.817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/20/2017,3303155.00,165682,315915.2,4038.266667,36587638.06,0,0,9662004,9839.892466,0,19401.65385,246.669,101.430,199.817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/27/2017,3103743.33,0,0,28805.33333,35527833.91,110717.9037,45040,9984742,7391.379724,0,41469,246.669,101.430,199.817,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12/4/2017,2793875.00,86770.64,263526.4,0,22479813.62,91229.41871,38200,8430013,4969.403594,0,16136,246.586,101.382,200.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2017,2260396.67,0,0,0,31416253.72,81708.98719,33360,7544173,9091.08372,0,37784,246.524,101.346,200.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2017,2399176.67,191247.16,275524.8,0,14540176.28,97406.95193,35000,7267249,3035.633075,0,43251,246.524,101.346,200.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2017,3827520.00,271247.16,0,45103.33333,69049248.22,90029.68004,30240,6834014,21679.64402,0,57523,246.524,101.346,200.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2018,3109461.67,0,0,15875.06667,43210526.92,99917.87573,31960,6891431,12843.63277,0,77617,247.265,101.298,202.035,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1/8/2018,2228128.33,0,11841.6,0,66804744.28,101549.4327,32520,7355344,16418.93087,0,74527,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2018,2202593.33,117267.72,0,46442,0,95898.97188,30240,6360391,0,0,10394,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2018,1918293.33,0,170433.6,58042.26667,0,67393.76136,27680,5937052,0,0,9740,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2018,1862458.33,75507.6,0,0,0,76315.53595,26880,5721235,0,0,13533,251.712,101.008,210.131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2018,1975951.67,0,0,14240.4,8899204.043,96828.85132,31840,6467565,1418.941044,0,56102,249.768,101.387,204.754,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2018,1827318.33,27495.64,162556.8,0,0,0,0,5749120,0,0,19401.65385,248.991,101.539,202.604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2018,1656268.33,0,0,18934.26667,0,0,0,5389739,0,0,19401.65385,248.991,101.539,202.604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2018,1703790.00,37068.32,168513.6,30008.4,0,75508.86226,22240,5114017,0,0,19325,248.991,101.539,202.604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/2018,1488115.00,0,0,0,0,68384.0442,22080,4961257,0,0,18078,249.393,101.611,203.353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2018,1727330.00,159360.76,271812.8,61460.4,0,54808.73577,21240,4823884,0,0,8711,249.554,101.640,203.653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/19/2018,1208246.67,0,0,0,0,53429.69321,17880,4036244,0,0,12979,249.554,101.640,203.653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2018,1388960.00,59231.52,245745.6,8967.466667,0,44222.37021,19000,4191403,0,0,23910,249.554,101.640,203.653,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2018,2408331.67,0,0,0,0,55400.03981,16560,3583995,0,0,10567,249.837,101.625,203.953,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/9/2018,1131721.67,0,33772.8,0,0,55494.36157,17920,3771321,0,0,41329,250.546,101.589,204.702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/16/2018,950015.00,0,0,0,21011312.28,50425.56526,14920,3167512,6339.781435,0,21616,250.546,101.589,204.702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/23/2018,801298.33,0,475060.8,0,0,36824.07093,11080,2604407,0,0,2529,250.546,101.589,204.702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4/30/2018,779838.33,0,0,0,145985945.1,28654.62717,9520,2549137,38401.7919,0,6836,250.546,101.589,204.702,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5/7/2018,889546.67,0,179022.4,0,0,45582.27694,14160,2937422,0,0,330,251.588,101.503,205.426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/14/2018,862850.00,0,0,20410.93333,145131039.9,0,0,2752045,39121.34233,0,19401.65385,251.588,101.503,205.426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5/21/2018,2601601.67,2841.32,78865.6,0,0,0,0,3080867,0,1,19401.65385,251.588,101.503,205.426,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5/28/2018,905008.33,0,0,12616.26667,14870672.24,37990.53137,13920,2957153,3027.127751,0,28568,251.588,101.503,205.426,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6/4/2018,910551.67,0,0,0,0,48237.86606,14160,3035519,0,0,26708,251.817,101.470,205.839,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/11/2018,923853.33,24944.04,0,16274,0,31886.21972,13600,2885659,0,0,7675,251.989,101.445,206.149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/18/2018,982420.00,0,52388.8,0,0,48085.89361,16240,3263336,0,0,23355,251.989,101.445,206.149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6/25/2018,1056811.67,0,0,31152.4,39206418.58,39747.69701,15480,3369140,11270.82822,0,16989,251.989,101.445,206.149,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7/2/2018,932326.67,43865.84,504304,0,0,31870.35714,11800,2839892,0,0,14653,251.994,101.436,206.356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/9/2018,1126221.67,0,0,34463.73333,102710071.7,43367.52227,15560,3555964,24239.4064,0,15143,252.006,101.414,206.873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/16/2018,1140006.67,26567.36,178553.6,0,0,45860.12959,15440,3590008,0,0,9013,252.006,101.414,206.873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/23/2018,1479303.33,29186.68,0,15518,0,47370.36869,20760,4606123,0,0,22477,252.006,101.414,206.873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7/30/2018,1647193.33,0,0,0,0,77832.99757,23240,5494567,0,0,8906,252.006,101.414,206.873,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8/6/2018,2009478.33,39124.48,277723.2,21600.4,0,76885.47655,26320,6045317,0,0,59318,252.126,101.423,207.250,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/13/2018,1523443.33,0,0,0,54622076.1,0,0,5035305,13352.25116,0,19401.65385,252.146,101.425,207.313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/20/2018,1420118.33,184689.36,319296,0,0,0,0,4208615,0,0,19401.65385,252.146,101.425,207.313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8/27/2018,1673551.67,0,0,0,43864423.45,82233.52452,25760,5541654,13525.41956,0,48020,252.146,101.425,207.313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9/3/2018,2061091.67,34984.24,204640,2317.333333,0,93587.0856,29200,6397383,0,0,70855,252.272,101.461,207.501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/10/2018,2144110.00,0,0,1608,0,90903.05147,31520,7137648,0,0,46225,252.439,101.508,207.753,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/17/2018,2058653.33,0,138361.6,29055.2,41405945.34,94015.68888,28080,6541298,10208.68332,0,74995,252.439,101.508,207.753,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9/24/2018,2208345.00,2663.8,87960,0,0,96795.50383,32680,7283453,0,0,1047,252.439,101.508,207.753,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10/1/2018,2603008.33,470110.32,78681.6,8095.333333,11394121.82,106126.9947,37040,7884994,2750.534607,0,34469,252.503,101.506,207.816,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10/8/2018,2313193.33,0,0,7769.466667,20322166.64,109267.1523,34480,7610669,6047.538494,0,22232,252.885,101.490,208.193,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
